ADM_name,ISO3,Name_short,Date_b19,Date_e19,Date_b18,Date_e18
Ukraine,UKR,autumn holiday,01/11/2019,11/11/2019,,
Ukraine,UKR,summer holiday,26/05/2019,02/09/2019,,
United Arab Emirates (UAE),ARE,break between school years/terms,03/08/2019,31/08/2019,,
United Kingdom,GBR,summer holiday,12/07/2019,02/09/2019,,
United States,USA,summer holiday,27/06/2019,05/09/2019,,
Uruguay,URY,summer holiday,18/12/2019,01/03/2020,,
Uzbekistan,UZB,autumn holiday,11/10/2019,21/10/2019,,
Uzbekistan,UZB,summer holiday,13/06/2019,14/08/2019,,
Vanuatu,VUT,break between school years/terms,06/05/2019,17/05/2019,,
Vanuatu,VUT,break between school years/terms,19/08/2019,30/08/2019,,
Vanuatu,VUT,break between school years/terms,02/12/2019,02/02/2020,,
Venezuela,VEN,summer holiday,24/07/2019,09/09/2019,,
VietNam,VNM,summer holiday,23/05/2019,29/07/2019,,
Virgin Islands,VIR,summer holiday,24/06/2019,02/09/2019,,
Wallis & Futuna,WLF,winter holiday,07/06/2019,24/06/2019,,
Yemen,YEM,break between school years/terms,19/07/2019,27/09/2019,,
Zambia,ZMB,winter holiday,12/08/2019,06/09/2019,,
Zambia,ZMB,break between school years/terms,15/04/2019,10/05/2019,,
Zambia,ZMB,summer holiday,09/12/2019,10/01/2020,,
Zimbabwe,ZWE,break between school years/terms,29/03/2019,06/05/2019,29/03/2018,08/05/2018
Zimbabwe,ZWE,break between school years/terms,10/08/2019,10/09/2019,27/07/2018,03/09/2018
Zimbabwe,ZWE,break between school years/terms,07/12/2019,08/01/2020,07/12/2018,07/01/2019
