"ADM_name","ISO3","Name_short","Date_b19","Date_e19","Date_b18","Date_e18","Date_b17","Date_e17","Date_b16","Date_e16","Date_b15","Date_e15","Date_b14","Date_e14","Date_b13","Date_e13","Date_b12","Date_e12","Date_b11","Date_e11","Date_b10","Date_e10","Date_b09","Date_e09"
"New Zealand (Aotearoa)","NZL","autumn holiday",2019-04-13,2019-04-28,2018-04-14,2018-04-28,2017-04-15,2017-04-28,2016-04-13,2016-04-28,2015-04-13,2015-04-26,2014-04-13,2014-04-27,2013-04-13,2013-04-28,2012-04-14,2012-04-28,2011-04-13,2011-04-28,2010-04-13,2010-04-28,2009-04-13,2009-04-26
"New Zealand (Aotearoa)","NZL","summer holiday",2019-12-14,2020-02-01,2018-12-15,2019-02-01,2017-12-16,2018-02-01,2016-12-14,2017-02-01,2015-12-14,2016-01-31,2014-12-14,2015-02-01,2013-12-14,2014-02-01,2012-12-15,2013-02-01,2011-12-14,2012-02-01,2010-12-14,2011-01-30,2009-12-14,2010-01-31
"Nicaragua","NIC","summer holiday",2019-06-29,2019-07-14,2018-06-30,2018-07-14,2017-07-01,2017-07-14,2016-06-29,2016-07-14,2015-06-29,2015-07-12,2014-06-29,2014-07-13,2013-06-29,2013-07-14,2012-06-30,2012-07-14,2011-06-29,2011-07-14,2010-06-29,2010-07-14,2009-06-29,2009-07-12
"Nicaragua","NIC","break between school years/terms",2019-11-28,2020-02-02,2018-11-28,2019-02-02,2017-11-28,2018-02-02,2016-11-28,2017-02-02,2015-11-28,2016-01-31,2014-11-29,2015-02-01,2013-11-30,2014-02-02,2012-11-28,2013-02-02,2011-11-28,2012-02-02,2010-11-28,2011-02-02,2009-11-28,2010-01-31
"Niger","NER","summer holiday",2019-07-03,2019-09-03,2018-07-03,2018-09-02,2017-07-03,2017-09-03,2016-07-03,2016-09-03,2015-07-04,2015-09-03,2014-07-05,2014-09-03,2013-07-03,2013-09-01,2012-07-03,2012-09-02,2011-07-03,2011-09-03,2010-07-03,2010-09-03,2009-07-04,2009-09-03
"Nigeria","NGA","break between school years/terms",2019-12-17,2020-02-01,2018-12-17,2019-02-01,2017-12-17,2018-02-01,2016-12-17,2017-02-01,2015-12-19,2016-01-31,2014-12-17,2015-02-01,2013-12-17,2014-02-01,2012-12-17,2013-02-01,2011-12-17,2012-02-01,2010-12-18,2011-01-30,2009-12-19,2010-01-31
"Nigeria","NGA","break between school years/terms",2019-07-22,2019-09-13,2018-07-22,2018-09-13,2017-07-22,2017-09-13,2016-07-23,2016-09-11,2015-07-22,2015-09-13,2014-07-22,2014-09-13,2013-07-22,2013-09-13,2012-07-22,2012-09-13,2011-07-23,2011-09-11,2010-07-24,2010-09-12,2009-07-22,2009-09-13
"Niue","NIU","winter holiday",2019-07-20,2019-08-04,2018-07-21,2018-08-04,2017-07-22,2017-08-04,2016-07-20,2016-08-04,2015-07-20,2015-08-02,2014-07-20,2014-08-03,2013-07-20,2013-08-04,2012-07-21,2012-08-04,2011-07-20,2011-08-04,2010-07-20,2010-08-04,2009-07-20,2009-08-02
"Norfolk Island","NFK","spring holiday",2019-09-28,2019-10-13,2018-09-29,2018-10-13,2017-09-30,2017-10-13,2016-09-28,2016-10-13,2015-09-28,2015-10-11,2014-09-28,2014-10-12,2013-09-28,2013-10-13,2012-09-29,2012-10-13,2011-09-28,2011-10-13,2010-09-28,2010-10-13,2009-09-28,2009-10-11
"Norfolk Island","NFK","winter holiday",2019-07-06,2019-07-21,2018-07-07,2018-07-21,2017-07-08,2017-07-21,2016-07-06,2016-07-21,2015-07-06,2015-07-19,2014-07-06,2014-07-20,2013-07-06,2013-07-21,2012-07-07,2012-07-21,2011-07-06,2011-07-21,2010-07-06,2010-07-21,2009-07-06,2009-07-19
